food_name,calories,protein,carbs,fat,fibre,sodium,glycaemic_index,serving_size_g,unit,meal_type,region,allergens,is_vegetarian,is_vegan,is_dairy,is_gluten
Kundru (Ivy Gourd) Masala,162.0,4.764705883,20.96470588,5.717647059,4.764705883,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Palak Puri,236.0,5.663999999,33.04,7.551999999,2.832,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Tomato Chutney with Bottle Gourd,149.0,4.257142857,23.41428572,5.321428572,3.192857143,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Lauki (Bottle Gourd) and Masoor Dal,230.0,9.0,35.0,6.0,4.0,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Chana and Spinach (Palak) Curry,300.0,13.33333333,50.0,8.888888889,7.777777778,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Beetroot and Carrot Salad,128.0,2.742857143,18.28571429,3.657142857,4.571428571,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Radish (Mooli) Paratha,280.0,7.0,45.0,8.0,4.0,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Cabbage and Peas Sabzi,182.0,7.077777778,25.27777778,6.066666667,5.055555556,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Green Beans and Potato Sabzi,207.9999999,5.942857141,27.73333332,7.923809521,4.95238095,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Raw Mango and Spinach Salad,99.00000001,1.8,14.4,2.7,4.5,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Mustard Greens (Sarson) Saag,229.0000001,6.969565219,29.86956522,8.960869567,5.973913045,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Spinach (Palak) Paratha,282.0,8.355555556,41.77777778,10.44444444,5.222222222,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Saag Aloo (Spinach and Potato),252.0,6.048,30.24,12.096,5.04,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Bitter Gourd (Karela) Stir Fry,154.0,5.133333333,20.53333333,6.16,7.186666667,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Chana Masala with Bottle Gourd,260.0000001,11.55555556,33.70370372,7.703703707,5.77777778,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,False,False,False
Karela (Bitter Gourd) with Onion,171.0,4.75,20.9,6.65,5.7,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Chow Chow (Chayote) Salad,94.99999999,1.727272727,12.95454545,2.590909091,4.318181818,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Chana Dal with Bottle Gourd,215.0,9.347826086,26.17391304,6.54347826,4.673913043,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Green Mango and Cucumber Salad,77.99999999,2.6,10.4,1.733333333,4.333333333,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Aloo-Gobhi (Potato-Cauliflower),212.0,5.047619048,30.28571429,8.076190476,6.057142857,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Green Peas Pulao,299.0,9.966666667,55.37037037,7.751851852,5.537037037,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Tomato and Onion Salad,75.0,1.666666667,8.333333333,2.5,2.5,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Masala Lauki,198.9999999,5.969999998,27.85999999,6.964999997,4.974999998,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Toor Dal with Pumpkin,217.0,7.890909089,34.52272727,4.931818181,6.904545453,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Potato and Spinach Curry,232.0,6.052173913,34.29565218,8.069565218,6.052173913,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Chana and Cabbage Sabzi,252.0,10.08,35.28,8.064,7.056,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Spinach and Onion Roti,256.0,7.585185185,36.02962963,7.585185185,5.688888889,0.0,55.0,100.0,serving,lunch,Pan-India,Gluten,True,False,False,True
Karela and Onion Stir Fry,163.0,5.09375,20.375,7.13125,6.1125,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Radish (Mooli) and Moong Dal,210.0,9.0,30.0,6.0,5.0,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Aloo-Besan (Potato and Chickpea Flour) Paratha,302.0,8.053333334,45.3,10.06666667,6.04,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Spinach and Tomato Soup,94.0,3.418181818,12.81818182,1.709090909,4.272727273,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Methi and Aloo (Fenugreek and Potato) Curry,220.0,7.0,30.0,8.0,5.0,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Mixed Vegetable Pulao,308.0,10.26666667,57.03703704,9.125925926,5.703703704,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Chole Bhature with Soy Protein,482.0,21.42222222,64.26666667,19.28,6.426666667,0.0,55.0,100.0,serving,lunch,Pan-India,Gluten,True,False,False,True
Tofu Stir-Fry with Vegetables,320.0,19.2,37.33333333,12.8,8.533333333,0.0,55.0,100.0,serving,dinner,Pan-India,,True,True,False,False
Vegetable and Tofu Pulao,392.0,17.92,61.6,13.44,6.72,0.0,55.0,100.0,serving,dinner,Pan-India,,True,True,False,False
Moong Dal with Quinoa,313.0,19.42758621,43.17241379,9.713793103,8.634482758,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Chana Dal and Brown Rice,382.0,18.09473684,55.28947368,10.05263158,9.047368421,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Lentil and Spinach Soup,245.0000001,14.7,34.30000001,4.900000001,6.860000002,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,False,False,False
Grilled Tofu with Veggie Salad,304.0,23.88571429,19.54285714,17.37142857,6.514285714,0.0,55.0,100.0,serving,dinner,Pan-India,,False,False,False,False
Masoor Dal with Amaranth,324.0,20.11034483,50.27586207,8.937931034,6.703448276,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Vegetable Biryani with Soy Protein,454.0,22.19555556,60.53333333,14.12444444,6.053333333,0.0,55.0,100.0,serving,lunch,Pan-India,Gluten,True,False,False,True
Chicken Breast with Sweet Potato,430.0,30.6375,53.75,10.75,5.375,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Grilled Salmon with Broccoli,404.0000001,25.58666667,16.16,17.95555556,4.488888889,0.0,55.0,100.0,serving,dinner,Pan-India,Fish,True,False,False,False
Beef Stir-Fry with Vegetables,402.0,28.6425,30.15,18.09,7.035,0.0,55.0,100.0,serving,dinner,Pan-India,Beef,False,False,False,False
Chicken Korma with Brown Rice,542.0,30.894,65.04,19.512,5.42,0.0,55.0,100.0,serving,lunch,Pan-India,Dairy,False,False,True,False
Paneer Butter Masala with Brown Rice,525.0,26.25,52.5,26.25,6.3,0.0,55.0,100.0,serving,lunch,Pan-India,Dairy,True,False,True,False
Chickpea and Spinach Stir Fry,314.0,17.94285714,44.85714286,11.21428571,7.85,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,False,False,False
Grilled Tofu with Quinoa,386.0,22.05714286,49.62857143,15.44,8.822857143,0.0,55.0,100.0,serving,dinner,Pan-India,,True,True,False,False
Palak (Spinach) and Moong Dal,248.0,13.888,29.76,7.936000001,6.944000001,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Quinoa and Lentil Salad,362.0,19.74545455,54.84848485,10.96969697,9.872727273,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,False,False,False
Tempeh and Tofu Stir-Fry,394.0,31.52,33.77142857,20.26285714,9.005714286,0.0,55.0,100.0,serving,dinner,Pan-India,,True,True,False,False
Vegetable Protein-Packed Soup,332.0,23.71428571,53.35714286,9.485714285,8.3,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Chicken Shawarma Wrap,480.0,30.4,42.66666667,21.33333333,7.466666667,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Mutton Seekh Kebab,450.0,25.65,9.000000001,22.95,1.8,0.0,55.0,100.0,serving,dinner,Pan-India,Mutton,False,False,False,False
Grilled Paneer with Veggie Salad,334.0,29.225,15.65625,18.7875,6.2625,0.0,55.0,100.0,serving,lunch,Pan-India,Dairy,False,False,True,False
Quinoa and Chickpea Salad,330.0,16.5,49.5,11.0,7.7,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,False,False,False
Grilled Chicken with Avocado,394.0,32.08285714,20.26285714,20.26285714,5.628571429,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Vegan Tempeh Stir-Fry with Veggies,402.0,26.44736842,37.02631579,19.04210526,8.463157895,0.0,55.0,100.0,serving,dinner,Pan-India,,False,False,False,False
Tofu and Vegetable Stew,330.0,22.75862069,45.51724138,11.37931034,6.827586207,0.0,55.0,100.0,serving,dinner,Pan-India,,True,True,False,False
Chana Chaat with Avocado,286.0,14.3,35.75,10.21428571,6.128571429,0.0,55.0,100.0,serving,snacks,Pan-India,Legumes,True,False,False,False
Spicy Chicken Curry with Rice,522.0,33.06,63.8,20.88,6.96,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Grilled Tofu Wrap,374.0,25.7125,46.75,16.3625,8.18125,0.0,55.0,100.0,serving,dinner,Pan-India,,True,True,False,False
Paneer and Spinach Wrap,388.0,27.71428571,49.88571428,13.30285714,8.868571428,0.0,55.0,100.0,serving,lunch,Pan-India,Dairy,True,False,True,False
Tofu and Chickpea Burger,462.0,28.875,57.75,20.79,10.395,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,True,False,False
Chicken and Sweet Potato Salad,482.0,32.70714286,51.64285714,20.65714286,6.885714286,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Vegan Lentil Stew with Spinach,304.0,19.54285714,43.42857143,8.685714286,7.6,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,True,False,False
Paneer Bhurji with Quinoa,414.0,30.50526316,38.13157895,19.61052632,7.62631579,0.0,55.0,100.0,serving,lunch,Pan-India,Dairy,True,False,True,False
Chana and Tofu Salad,376.0,23.63428572,48.34285714,12.89142857,8.594285715,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,True,False,False
Grilled Chicken with Veggie Rice,484.0,30.65333333,53.77777778,17.20888889,6.453333333,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Tofu and Bell Pepper Stir Fry,374.0,26.54193549,48.25806452,16.89032258,9.651612904,0.0,55.0,100.0,serving,dinner,Pan-India,,True,True,False,False
